3590,Hershey's,Hershey's Chocolate Flavor Syrup,623 g,190,https://rukminim1.flixcart.com/image/280/280/jq4353k0/concentrate/g/h/g/chocolate-flavor-syrup-hershey-s-original-imafc7agbgfg9qpc.jpeg?q=70
3590,Rasna,Rasna Instant Orange,750 g,149,https://rukminim1.flixcart.com/image/280/280/k9itgnk0/concentrate/w/y/q/instant-orange-rasna-original-imafranyxassdkse.jpeg?q=70
3590,Rasna,Rasna Alphonso Mango (32 Glasses),"25 ml, 20 g",42,https://rukminim1.flixcart.com/image/280/280/jjolt3k0/concentrate/k/7/a/alphonso-mango-32-glasses-rasna-original-imaf772jbb95anjr.jpeg?q=70
3590,Rasna,Rasna Nagpur Orange (32 Glasses),"25 ml, 20 g",42,https://rukminim1.flixcart.com/image/280/280/jnw2he80/concentrate/e/4/h/nagpur-orange-32-glasses-rasna-original-imafagwk6hfyybad.jpeg?q=70
3590,Rasna,Rasna Chatpata Masala Orange (32 Glasses),"25 ml, 30 g",42,https://rukminim1.flixcart.com/image/280/280/jjolt3k0/concentrate/y/x/e/chatpata-masala-orange-32-glasses-rasna-original-imaf772hdy5xyvfk.jpeg?q=70
3590,Rasna,Rasna Instant Nimbupani,750 g,149,https://rukminim1.flixcart.com/image/280/280/k7f34i80/concentrate/z/m/8/instant-lemon-rasna-original-imafpnz8yp2ygk6g.jpeg?q=70
3590,Rasna,Rasna Fruit Plus 21 Pineapple Super Squash,750 ml,114,https://rukminim1.flixcart.com/image/280/280/jj8vyq80/concentrate/m/a/y/750-fruit-plus-21-pineapple-power-squash-rasna-original-imaf6v6rpxpnyvr8.jpeg?q=70
3590,Rasna,Rasna Fruit Plus 21 Mango Power Squash,750 ml,114,https://rukminim1.flixcart.com/image/280/280/jiulk7k0/concentrate/9/v/n/750-fruit-plus-21-mango-power-squash-rasna-original-imaf6k2fkhg5dznz.jpeg?q=70
3590,Rasna,Rasna American Pineapple (32 Glasses),"25 ml, 20 g",42,https://rukminim1.flixcart.com/image/280/280/jjolt3k0/concentrate/n/d/g/american-pineapple-32-glasses-rasna-original-imaf772mcze7yfc6.jpeg?q=70
3590,Rasna,Rasna Insta Combo Pack,Sipper Free,128,https://rukminim1.flixcart.com/image/280/280/jv6zi4w0/concentrate/y/w/g/insta-combo-pack-rasna-original-imafg5ajknk3avgy.jpeg?q=70
3590,Rasna,Rasna Instant Pineapple,500 g,120,https://rukminim1.flixcart.com/image/280/280/jiw10280/concentrate/q/h/4/500-insta-pineapple-rasna-original-imaf6h6ghmg3yguh.jpeg?q=70
3590,Rasna,Rasna Fruit Plus 21 Lemon Power Squash,750 ml,114,https://rukminim1.flixcart.com/image/280/280/jj8vyq80/concentrate/9/9/r/750-fruit-plus-21-lemon-power-squash-rasna-original-imaf6v6rmzutgzbe.jpeg?q=70
3590,Rasna,Rasna Instant Mango,750 g,149,https://rukminim1.flixcart.com/image/280/280/k9itgnk0/concentrate/h/y/z/instant-mango-rasna-original-imafranysjmrcrge.jpeg?q=70
3590,Tang,Tang Orange Instant Drink Mix,750 g,178,https://rukminim1.flixcart.com/image/280/280/k84t1u80/concentrate/q/e/x/orange-instant-drink-mix-tang-original-imafq7r8ar2duvh5.jpeg?q=70
3590,Tang,Tang Lemon Instant Drink Mix,500 g,128,https://rukminim1.flixcart.com/image/280/280/k84t1u80/concentrate/p/z/k/lemon-instant-drink-mix-tang-original-imafq7r8fjnawrhz.jpeg?q=70
3590,Tang,Tang Mango Instant Drink Mix,500 g,128,https://rukminim1.flixcart.com/image/280/280/k7z3afk0/concentrate/k/d/m/mango-instant-drink-mix-tang-original-imafq3baat2hpys4.jpeg?q=70
