643,7UP,7UP Nimbooz,350 ml,20,https://rukminim1.flixcart.com/image/280/280/j5y7gcw0-1/aerated-drink/j/e/c/350-nimbooz-7up-original-imaewj8ccvq6tz6g.jpeg?q=70
643,Maaza,Maaza Mango,1.2 L,57,https://rukminim1.flixcart.com/image/280/280/k4irzbk0/drinks-juice/a/5/4/1-2-mango-plastic-bottle-maaza-original-imafkh8tzsqywcjh.jpeg?q=70
643,Minute Maid,Minute Maid Pulpy Orange,1 L,60,https://rukminim1.flixcart.com/image/280/280/jyj0how0/drinks-juice/c/k/h/1-pulpy-orange-plastic-bottle-minute-maid-original-imafgqqryzt7pbvs.jpeg?q=70
643,Minute Maid,Minute Maid Mixed Fruit Juice,1 L,70,https://rukminim1.flixcart.com/image/280/280/k7m8brk0/drinks-juice/p/x/a/1-mixed-fruit-juice-tetrapack-minute-maid-original-imafptfzffg63ayq.jpeg?q=70
643,Minute Maid,Minute Maid Guava Juice,1 L,70,https://rukminim1.flixcart.com/image/280/280/k0mqtu80/drinks-juice/a/r/z/1-guava-juice-tetrapack-minute-maid-original-imafkdxbvgcr5s3q.jpeg?q=70
643,Minute Maid,Minute Maid Orange Juice,1 L,73,https://rukminim1.flixcart.com/image/280/280/k7m8brk0/drinks-juice/9/q/z/1-orange-juice-tetrapack-minute-maid-original-imafptfnhegnhuzz.jpeg?q=70
643,Mogu Mogu,Mogu Mogu Lychee Juice with Nata De Coco,300 ml,51,https://rukminim1.flixcart.com/image/280/280/k933ma80/drinks-juice/z/n/5/300-lychee-juice-with-nata-de-coco-plastic-bottle-mogu-mogu-original-imafqym5myzxnhyk.jpeg?q=70
643,Mogu Mogu,Mogu Mogu Grape Juice with Nata De Coco,300 ml,51,https://rukminim1.flixcart.com/image/280/280/k933ma80/drinks-juice/j/p/u/300-grape-juice-with-nata-de-coco-plastic-bottle-mogu-mogu-original-imafqym5jnmggzba.jpeg?q=70
643,Mogu Mogu,Mogu Mogu Strawberry Juice with Nata De Coco,300 ml,51,https://rukminim1.flixcart.com/image/280/280/k933ma80/drinks-juice/c/4/f/300-strawberry-juice-with-nata-de-coco-plastic-bottle-mogu-mogu-original-imafqym5tptwu6hd.jpeg?q=70
643,Paper Boat,Paper Boat Nimbu Pani,250 ml,31,https://rukminim1.flixcart.com/image/280/280/ka2tmkw0/drinks-juice/m/5/p/250-nimbu-pani-pouch-paper-boat-original-imafrq8fxdqcgag3.jpeg?q=70
643,Paper Boat,Paper Boat Juice - Aamras,1 L,102,https://rukminim1.flixcart.com/image/280/280/k7w8eq80/drinks-juice/b/n/j/1-juice-aamras-tetrapack-paper-boat-original-imafqfyjpvhyvjtt.jpeg?q=70
