1712,Dettol,Dettol Kitchen Slab and Dish Cleaning Gel,400 ml,129,https://rukminim1.flixcart.com/image/280/280/k7xnukw0/dish-cleaning-gel/z/x/h/lemon-fresh-kitchen-slab-and-bottle-dettol-original-imafq26f3hhh9gxt.jpeg?q=70
1712,Exo,Exo Touch & Shine Round Dishwash Bar,Exo Super Scrubber Worth Rs.15 Free,64,https://rukminim1.flixcart.com/image/280/280/k6qsn0w0/dish-washing-bar/h/q/q/touch-shine-round-1-700-exo-original-imafp4z48qbhnc6h.jpeg?q=70
1712,Pitambari,Pitambari Shining Powder Dishwashing Detergent,200 g,57,https://rukminim1.flixcart.com/image/280/280/jtoorrk0/dish-washing-detergent/h/w/v/none-200-shining-powder-pitambari-original-imafeyxehmfmdj2h.jpeg?q=70
1712,Pitambari,Pitambari Shining Powder Dishwashing Detergent,1 kg,227,https://rukminim1.flixcart.com/image/280/280/jpwxxu80/dish-washing-detergent/h/h/g/none-1-shining-powder-pitambari-original-imafcfk7hzt94pve.jpeg?q=70
1712,Pril,Pril Dish Cleaning Gel,750 ml,140,https://rukminim1.flixcart.com/image/280/280/k3rmm4w0/dish-cleaning-gel/3/a/r/lime-na-bottle-pril-original-imafmtgrwhjrkv2z.jpeg?q=70
1712,Pril,Pril Dishwash Bar,Buy 3 Get 1 (200g each) Free,53,https://rukminim1.flixcart.com/image/280/280/jskofww0/dish-washing-bar/d/5/n/na-3-600-pril-original-imafe43wrvq9vm94.jpeg?q=70
1712,Pril,Pril Dish Cleaning Gel,750 ml,144,https://rukminim1.flixcart.com/image/280/280/k3rmm4w0/dish-cleaning-gel/y/h/m/kraft-na-bottle-pril-original-imafmth5jjp8ht3r.jpeg?q=70
1712,Pril,Pril Dish Cleaning Gel,750 ml,145,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
1712,Scotch Brite,Scotch Brite Scrub Sponge,Pack of 3,82,https://rukminim1.flixcart.com/image/280/280/k4zx9jk0/scrub-pad/u/u/n/na-large-3-scotch-brite-original-imafnpjjuxwmpwbf.jpeg?q=70
1712,Scotch Brite,Scotch Brite Scrub Pad,Pack of 1,15,https://rukminim1.flixcart.com/image/280/280/jdxeykw0/scrub-pad/u/t/y/regular-scrub-pad-regular-1-scotch-brite-original-imaf2qfacbkccmqm.jpeg?q=70
1712,Scotch Brite,Scotch Brite Stainless Steel Scrub Pad,Scrub Pad Worth Rs.10 Free,29,https://rukminim1.flixcart.com/image/280/280/jd3epow0/scrub-pad/t/r/v/small-stainless-steel-2-scotch-brite-original-imaf22yfbfvvxcvt.jpeg?q=70
1712,Scotch Brite,Scotch Brite S-Shape Scrub Pad,Pack of 3,40,https://rukminim1.flixcart.com/image/280/280/jepzrm80/scrub-pad/w/v/g/regular-s-shape-1-scotch-brite-original-imaf3cgykavnmeya.jpeg?q=70
1712,Scotch Brite,Scotch Brite Sponge Wipe,Rs 15 Savings Pack,170,https://rukminim1.flixcart.com/image/280/280/jepzrm80/scrub-pad/u/w/a/large-wipe-1-scotch-brite-original-imaf3cgygxsw6nyc.jpeg?q=70
1712,Scotch Brite,Scotch Brite Platinum Scrub Pad,Pack of 1,20,https://rukminim1.flixcart.com/image/280/280/jepzrm80/scrub-pad/h/y/y/small-platinum-1-scotch-brite-original-imaf3camhnwxfzkq.jpeg?q=70
1712,Scotch Brite,Scotch Brite Non Scratch Scrub Sponge,Pack of 1,32,https://rukminim1.flixcart.com/image/280/280/j9hdn680/scrub-pad/g/s/y/regular-non-scratch-1-scotch-brite-original-imaez9zzda4zd7tk.jpeg?q=70
1712,Scotch Brite,Scotch Brite Sponge Wipe,Pack of 5,284,https://rukminim1.flixcart.com/image/280/280/k7531jk0/scrub-pad/x/z/x/na-regular-5-scotch-brite-original-imafpfy2qvzs8fcg.jpeg?q=70
